image_url,prompt,model ,image_ID
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00040.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00040.txt,A,40A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00041.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00041.txt,A,41A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00042.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00042.txt,A,42A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00043.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00043.txt,A,43A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00044.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00044.txt,A,44A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00045.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00045.txt,A,45A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00046.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00046.txt,A,46A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00047.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00047.txt,A,47A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00048.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00048.txt,A,48A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00049.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00049.txt,A,49A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00050.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00050.txt,A,50A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00051.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00051.txt,A,51A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00052.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00052.txt,A,52A
https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00053.png,https://ikrsek.github.io/Qualtrics_ImageFiltersStudy_Repo26/samples_ml_mdm/00053.txt,A,53A
